uid,iid
76,1944
76,2970
77,595
77,1746
77,1929
77,602
77,780
77,1150
77,1441
77,2374
77,2714
77,3253
77,3247
78,1537
80,725
80,439
80,1563
80,2329
80,1881
81,70
81,649
82,986
82,1439
82,1812
82,193
82,689
84,376
84,1176
84,2311
84,446
84,1948
85,761
86,2171
86,1981
86,848
87,1268
87,1337
89,1802
89,403
89,1752
89,1519
89,558
89,911
89,656
89,2538
89,588
89,3100
89,1360
89,469
89,2128
89,609
89,1698
89,979
89,2031
90,3014
91,1420
91,759
91,2392
91,635
91,1516
91,788
91,2304
91,1177
91,1090
91,865
91,515
91,1614
91,1617
91,1438
91,546
91,251
91,755
91,1831
91,2217
91,1423
91,895
91,2247
91,1571
91,1537
91,1538
91,1542
91,15
91,1578
91,1672
91,1897
91,1994
91,314
91,2652
91,1105
91,1699
91,1399
91,1437
92,785
92,786
92,2009
92,878
92,2372
92,112
92,1532
92,1859
92,15
92,979
93,992
94,1589
94,602
95,367
96,1706
96,841
96,1220
96,2815
96,326
96,2170
96,1319
96,1150
96,467
96,474
96,1260
96,2409
96,1317
96,589
96,1437
97,959
98,239
98,1940
98,1735
98,1942
98,653
98,2147
99,2108
100,911
100,2570
100,808
101,1509
101,1745
101,183
101,1795
101,1243
101,2574
101,527
101,2347
101,626
101,1305
101,2189
101,2341
101,689
102,1824
102,70
102,1578
102,1083
103,736
103,1663
104,2055
104,1827
105,1135
106,997
106,1745
106,1135
106,2193
106,2209
106,1155
106,836
106,37
106,62
106,1483
106,1337
107,1369
108,392
108,1858
108,493
108,1415
109,1581
109,2399
109,2611
110,1449
111,871
111,310
111,1203
111,1992
112,1933
112,2404
112,1369
112,1700
112,367
113,394
113,419
113,1061
113,1430
113,372
113,1235
113,2943
113,452
114,1369
115,1078
115,1360
115,2611
115,1382
115,2285
116,1509
116,1818
116,751
116,394
116,1586
116,899
116,1847
116,2362
116,3152
116,288
116,2089
116,1411
116,1023
116,1684
116,1685
116,1896
116,809
116,2706
116,2113
116,525
116,70
116,1958
116,251
116,1214
116,1020
116,2216
116,2587
116,968
116,1368
116,787
116,3105
116,1412
116,1894
116,1696
116,2754
116,1414
116,1553
116,1948
116,1141
116,1484
116,1966
116,993
117,949
117,47
117,790
117,1898
117,1483
118,1420
118,1279
118,780
118,657
118,626
118,386
118,202
118,1056
118,864
118,807
118,2258
119,1131
120,949
120,1176
120,1202
122,3210
122,841
122,2055
122,2387
122,1220
122,1158
122,1804
122,1676
122,2658
122,235
122,1188
122,2581
122,1351
122,1079
122,2883
122,2402
122,1760
122,1809
122,2307
122,502
122,1482
122,1765
122,63
122,1169
122,3178
122,528
122,1620
122,1124
122,677
122,2236
122,1567
122,755
122,1278
122,889
122,2890
122,3358
122,2472
122,686
122,1393
122,2190
122,1062
122,2200
122,2519
122,1989
122,2651
122,1426
122,854
122,1897
122,89
122,1092
122,2894
122,1563
122,1480
122,508
122,931
122,576
122,2208
122,1118
122,107
123,296
124,1161
125,154
125,2297
125,228
125,1352
125,103
125,2220
126,3004
126,2036
126,2153
126,1936
126,2862
126,2093
126,2443
126,2281
126,1286
126,2451
127,3503
128,1509
128,2100
128,1351
128,1250
128,2513
128,40
129,1451
129,1397
129,1399
130,1295
130,555
130,1373
130,1794
130,1350
130,2184
130,3070
130,801
130,574
130,2267
130,1025
130,1441
130,2548
130,2988
130,1636
130,160
130,2807
130,2351
130,1726
130,107
131,2194
131,1833
132,346
132,149
132,1759
132,727
132,3207
132,2446
132,1253
132,2652
132,663
133,1573
133,899
133,1824
133,70
133,40
133,2063
133,1961
133,1535
133,1461
133,3326
133,2161
133,808
134,1818
134,1611
134,1614
134,1936
134,1944
135,394
135,883
135,188
135,1927
135,2260
135,1794
135,1234
135,319
135,1398
135,1438
135,1624
135,1814
135,3147
135,1985
135,1424
135,2189
135,1776
135,1462
135,2039
135,1545
135,478
135,257
135,1656
135,1901
136,14
136,1034
136,1341
136,2154
136,2285
136,1014
136,257
136,1557
136,1399
137,1671
137,17
137,2266
137,699
137,2145
137,1563
138,2050
138,829
138,2682
138,760
138,1187
138,1354
138,1264
138,1267
138,3078
138,417
138,1253
138,2689
138,1966
138,589
138,1727
139,1138
139,485
139,1876
139,1991
140,1131
140,1380
142,626
143,1531
144,1897
145,376
145,1386
145,761
145,2165
145,1001
145,1225
145,1045
145,961
145,1709
145,780
145,1319
145,2103
145,725
145,2402
145,1089
145,2884
145,486
145,1169
145,548
145,166
145,1537
145,716
145,37
145,15
145,1545
145,89
145,2129
145,798
145,2256
145,1881
145,992
146,780
146,676
146,40
146,878
146,1834
146,1547
147,1507
147,744
147,376
147,1220
147,3106
147,1001
147,1750
147,1457
147,2360
147,780
147,558
147,1351
147,2188
147,2537
147,1849
147,1250
147,1094
147,794
147,1888
147,1396
147,1612
147,1968
147,2029
147,1291
147,1976
147,528
147,2547
147,1768
147,2185
147,680
147,1529
147,709
147,2071
147,686
147,440
147,1057
147,446
147,1461
147,908
147,1073
147,1080
147,1578
147,1649
147,1286
147,1969
147,1208
147,2008
147,1106
147,1836
147,1837
147,1167
147,522
147,2000
147,2136
147,1435
147,1202
147,819
148,1673
148,871
148,1172
148,1899
148,1225
148,1048
148,2213
148,1601
148,566
148,2203
148,1715
148,224
148,1332
148,2516
148,2372
148,1449
148,882
148,2348
148,2437
148,2197
148,2552
148,2228
148,202
148,2018
148,963
148,1538
148,1642
148,647
148,2411
148,1540
148,2518
148,1652
148,2520
148,810
148,1726
148,1580
149,1420
149,1589
149,203
149,1774
149,2121
149,1812
149,2865
149,1251
149,1259
150,2620
150,1295
150,164
150,2531
150,423
150,2817
150,1060
150,2142
150,14
150,1090
150,658
150,801
150,1401
150,1291
150,1438
150,2931
150,1299
150,1874
150,1404
150,952
150,261
150,417
150,895
150,2250
150,1204
150,1072
150,2449
150,2962
150,2987
150,1106
150,508
150,1329
150,1268
150,1125
150,991
150,2147
152,1572
152,559
154,558
154,2537
154,1289
154,1290
154,2111
154,407
154,100
154,112
154,2527
154,1998
154,1073
154,1808
155,395
155,433
155,1519
155,1078
155,1197
155,1291
155,1440
155,1441
155,1299
155,1380
155,1490
156,2480
156,1132
156,1187
156,1188
156,1351
156,1760
156,738
156,834
156,407
156,195
156,2472
156,2444
156,604
156,2731
156,1672
156,1472
156,1835
156,2219
156,2181
156,1326
156,2605
156,1435
156,2222
157,1550
158,626
160,2701
160,1740
160,1706
160,183
160,1671
160,2481
160,2165
160,1233
160,2658
160,1840
160,1607
160,1250
160,657
160,2266
160,2116
160,1980
160,1215
160,2437
160,2175
160,1221
160,2507
160,2503
160,1259
160,2317
160,2669
160,1266
160,1268
161,1351
162,1420
162,1587
162,310
162,762
162,1041
162,1389
162,2571
162,2572
162,1351
162,2596
162,2512
162,1176
162,1605
162,2305
162,483
162,1933
162,1733
162,2733
162,1119
162,2271
162,1960
162,626
162,1440
162,154
162,1797
162,2611
162,1867
162,753
162,2610
162,3077
162,202
162,417
162,64
162,772
162,2071
162,686
162,2075
162,646
162,1382
162,2753
162,2080
162,610
162,193
162,1098
162,314
162,1208
162,2208
162,689
162,1952
162,1580
163,2809
163,1220
163,2114
163,367
164,1319
164,525
164,2740
164,854
164,2840
165,2620
165,880
165,1591
165,2168
165,2014
165,1137
165,1709
165,1242
165,1603
165,809
165,1686
165,2632
165,2491
165,757
165,2554
165,1736
165,1636
165,2507
165,1536
165,1692
165,716
165,1643
165,2865
165,469
165,1694
165,861
165,1670
165,1259
165,1105
166,296
166,1392
166,1174
166,2190
168,1912
168,1899
168,759
168,1220
168,1077
168,1712
168,2569
168,501
168,2216
168,2618
168,1183
168,2440
168,432
168,2507
168,1347
168,1719
168,1056
168,231
168,2127
168,37
168,1400
168,2283
168,1890
168,172
168,469
168,925
168,193
168,1435
168,1202
170,1792
171,47
172,1581
172,3004
172,745
172,943
172,3182
172,1180
172,2224
172,2164
172,2015
172,2531
172,2138
172,1132
172,600
172,1457
172,1676
172,236
172,2033
172,1137
172,790
172,725
172,2804
172,2226
172,3003
172,3274
172,2114
172,588
172,939
172,2548
172,548
172,1626
172,2064
172,3050
172,1770
172,2635
172,2206
172,2328
172,1987
172,439
172,964
172,3015
172,647
172,1240
172,371
172,1644
172,2282
172,2528
172,1721
172,1990
172,1991
172,2021
172,2219
172,1655
172,105
172,2161
172,2317
172,2669
172,1965
172,984
172,1663
172,1336
172,1337
173,161
173,2570
173,1105
174,1705
174,176
174,1586
174,761
174,1870
174,1143
174,1592
174,2056
174,1373
174,49
174,2194
174,2196
174,1184
174,1531
174,1717
174,1055
174,2154
174,1013
174,2317
174,206
175,1053
175,1278
175,1835
176,712
176,1781
177,1671
177,1048
177,961
177,2781
177,89
177,1254
177,1262
177,1272
178,2107
178,2582
178,1692
178,1098
178,991
179,1320
179,2765
180,1281
180,1827
180,971
180,1486
180,590
180,1025
180,1031
180,889
180,417
180,1736
180,1868
180,2605
180,1555
181,916
181,2413
182,761
182,2582
182,228
182,1881
183,2001
183,1807
185,1818
185,310
185,1347
185,462
185,1382
186,3219
186,2850
186,2294
186,1742
186,176
186,3092
186,2401
186,1593
186,2801
186,2169
186,1011
186,2363
186,2511
186,1601
186,177
186,801
186,201
186,1611
186,3029
186,1291
186,227
186,284
186,2548
186,3202
186,305
186,758
186,1938
186,2526
186,3031
186,954
186,2189
186,2442
186,233
186,646
186,2299
186,1014
186,2828
186,1259
186,320
186,1701
186,578
187,1078
187,1034
187,1718
187,1987
187,2319
188,2175
188,1099
189,1264
189,2210
189,2731
189,1195
189,1251
189,2449
189,1700
189,1966
189,1789
190,878
190,1536
190,2577
190,3026
191,376
191,1899
191,2357
191,883
191,884
191,766
191,198
191,113
191,1594
191,333
191,966
191,2137
191,241
191,1351
191,306
191,657
191,312
191,794
191,1610
191,809
191,2308
191,676
191,1441
191,2470
191,2575
191,753
191,1961
191,417
191,1917
191,1634
191,432
191,964
191,1055
191,2010
191,1545
191,2895
191,531
191,1662
192,2163
192,162
192,1971
192,1180
192,1303
192,2568
192,1137
192,1709
192,1319
192,1320
192,1283
192,485
192,201
192,2632
192,1889
192,3142
192,1313
192,37
192,1991
192,1334
192,1727
192,1924
193,2783
193,386
193,1940
193,1892
193,994
194,378
194,3266
194,3219
194,1029
194,871
194,2417
194,762
194,766
194,199
194,2693
194,2510
194,1053
194,2003
194,1710
194,1350
194,1068
194,919
194,1079
194,2232
194,2233
194,791
194,2661
194,1849
194,1023
194,177
194,1283
194,1413
194,2203
194,1608
194,2429
194,2790
194,1100
194,613
194,201
194,515
194,518
194,2029
194,2172
194,1617
194,2271
194,2372
194,750
194,304
194,1449
194,2610
194,944
194,1341
194,2438
194,1916
194,2160
194,2092
194,112
194,2373
194,1633
194,1735
194,1186
194,1776
194,1637
194,2218
194,715
194,1998
194,3393
194,339
194,2281
194,2473
194,651
194,1879
194,2718
194,1074
194,787
194,1547
194,1649
194,2501
194,2753
194,1253
194,2449
194,3581
194,2970
194,2351
194,2161
194,862
194,2451
194,1141
194,1700
194,2084
194,2646
194,2849
194,2897
194,737
196,654
197,1154
197,751
197,766
197,419
197,1685
197,2395
197,2734
197,501
197,676
197,386
197,889
197,269
197,432
197,1947
197,542
198,2049
198,299
198,2357
198,1371
198,1594
198,2142
198,1914
198,1827
198,971
198,2089
198,474
198,2487
198,2107
198,671
198,1486
198,1576
198,1958
198,2235
198,2902
198,1440
198,1442
198,166
198,1037
198,2709
198,2190
198,1540
198,3129
198,1013
198,1257
198,808
198,929
198,2257
198,2732
198,1166
198,1118
199,1822
199,235
200,2809
200,2137
200,986
200,964
200,37
200,666
201,1026
201,2392
201,2703
201,1927
201,2571
201,2509
201,966
201,1060
201,241
201,2362
201,558
201,784
201,562
201,563
201,914
201,1466
201,921
201,2694
201,790
201,2232
201,2306
201,319
201,2880
201,1614
201,671
201,677
201,2335
201,1438
201,877
201,626
201,878
201,1443
201,827
201,630
201,2470
201,2042
201,1937
201,836
201,2228
201,711
201,2249
201,1536
201,686
201,229
201,2125
201,1500
201,1782
201,469
201,792
201,1253
201,2754
201,2645
201,1654
201,193
201,2831
201,510
201,929
201,931
201,1483
201,367
201,2339
201,1789
202,235
202,2573
202,671
202,1291
202,677
202,1440
202,1027
202,1057
202,2576
202,3087
203,2049
203,595
203,761
203,635
203,1048
203,2014
203,1351
203,312
203,289
203,2185
203,1867
203,1936
203,2243
203,1404
203,112
203,269
203,432
203,1737
203,453
203,1540
203,2154
203,2952
204,871
204,1132
204,1898
204,467
204,1197
204,1975
204,1452
204,1890
205,1700
206,1441
206,1966
207,823
207,1792
207,1180
207,2703
207,2193
207,184
207,942
207,2354
207,984
207,1434
208,2488
208,678
208,1341
209,113
209,70
209,1360
209,877
210,1369
211,2387
211,2014
211,1519
211,3466
211,1191
211,2372
211,406
212,372
213,1866
213,1870
213,893
213,2623
213,902
213,916
213,2694
213,2880
213,1567
213,684
213,1353
213,1548
213,1358
213,666
214,70
215,693
215,1843
215,1912
215,595
215,395
215,1422
215,2615
215,1972
215,884
215,188
215,1513
215,2693
215,47
215,423
215,1732
215,2704
215,961
215,2231
215,602
215,962
215,2331
215,1061
215,2170
215,3002
215,2424
215,1827
215,2233
215,1323
215,1246
215,1086
215,1932
215,568
215,2427
215,1163
215,2885
215,860
215,2980
215,928
215,318
215,501
215,2823
215,1976
215,1766
215,1616
215,527
215,1436
215,3183
215,1215
215,1449
215,757
215,684
215,1981
215,1916
215,1221
215,1131
215,1985
215,1531
215,3048
215,1717
215,2397
215,1987
215,1459
215,432
215,1235
215,2251
215,2527
215,1737
215,1352
215,2724
215,853
215,1547
215,1251
215,89
215,476
215,1947
215,2256
215,2952
215,1480
215,2221
215,522
215,1860
215,2000
215,1488
215,1808
215,2222
217,1078
217,2880
217,372
217,684
217,1538
217,2285
217,1995
218,493
219,1925
219,2110
219,877
219,942
220,2137
220,1729
220,1895
220,2131
221,372
221,1867
221,1560
221,1072
221,2447
222,1843
222,433
222,1060
222,3152
222,913
222,1522
222,2573
222,1032
222,296
222,2507
222,1945
222,1908
222,510
222,2897
222,1555
223,1619
223,551
223,417
223,1145
223,1572
223,371
223,478
223,1892
224,1885
224,1128
224,162
224,1866
224,1373
224,2346
224,2716
224,789
224,1604
224,2332
224,2306
224,2203
224,1379
224,2110
224,201
224,2266
224,1729
224,671
224,2268
224,2013
224,2839
224,2204
224,2825
224,1623
224,749
224,1341
224,2439
224,1636
224,964
224,2349
224,229
224,233
224,3015
224,3072
224,646
224,918
224,1140
224,2503
224,2970
224,1099
224,2317
224,2008
224,206
224,1141
224,979
224,1385
224,1881
224,1862
224,1490
224,1666
224,994
224,249
225,2238
226,1078
226,1140
227,2369
227,1966
228,2809
228,1029
228,1802
228,433
228,1852
228,1291
228,677
228,372
228,284
228,305
228,1944
228,493
228,1701
228,1726
228,367
229,1673
229,1396
229,2286
229,2830
229,1326
229,2670
230,942
230,1500
230,1369
231,988
231,2374
231,1572
231,1555
232,1323
232,1430
232,493
232,1105
233,346
234,1295
234,943
234,997
234,1886
234,2165
234,2420
234,1223
234,1143
234,1592
234,919
234,2332
234,177
234,1607
234,201
234,2540
234,1201
234,2205
234,372
234,1155
234,2186
234,100
234,1636
234,228
234,1056
234,716
234,1352
234,1720
234,2723
234,2592
234,2939
234,1991
234,2560
234,1909
234,810
234,2354
234,1329
234,1268
234,1881
234,2649
234,1276
234,1790
235,1581
235,1743
235,887
236,1019
236,1831
236,3031
236,2043
236,1058
236,1542
236,927
236,576
236,1266
236,1336
237,183
237,1671
237,2481
237,2165
237,1137
237,2213
237,49
237,2659
237,2700
237,474
237,3232
237,1611
237,1275
237,939
237,3050
237,3031
237,2030
237,1308
237,1985
237,64
237,1235
237,716
237,1322
237,62
237,1252
237,30
237,2354
237,107
238,2778
239,1613
239,487
240,1360
240,2319
241,2049
241,884
241,562
241,2403
241,2271
241,548
241,1830
241,755
241,233
241,1084
241,477
241,2219
243,2121
243,367
244,745
244,378
244,595
244,1588
244,946
244,762
244,841
244,2055
244,2510
244,2170
244,785
244,1350
244,1160
244,1351
244,562
244,1320
244,2537
244,1411
244,1197
244,474
244,2980
244,2790
244,863
244,501
244,1289
244,2582
244,2542
244,527
244,1212
244,825
244,3139
244,2064
244,833
244,837
244,407
244,2740
244,708
244,686
244,2730
244,1463
244,1244
244,2200
244,1945
244,1194
244,1195
244,2179
244,1251
244,2754
244,1835
244,257
244,1892
244,1255
244,862
244,1113
244,2208
244,1484
244,989
244,1380
244,2222
244,1704
244,1437
245,684
246,1616
248,2571
248,241
248,1257
249,1732
249,1362
250,1866
250,257
251,736
251,1382
252,1792
252,1589
252,2165
252,2778
252,2273
252,1637
252,229
253,2159
254,1402
254,1741
254,2818
254,255
254,2790
254,1964
254,2706
254,1612
254,1957
254,2981
254,3073
254,1296
254,1159
254,908
254,651
255,2883
255,638
255,1550
255,2134
256,2586
257,1351
257,1806
257,1531
257,1642
257,1541
257,1075
257,1259
258,1615
258,2204
258,1441
259,2009
259,1830
259,112
259,2555
259,1532
259,1535
259,1083
260,2001
260,3267
260,752
260,1671
260,1802
260,2946
260,1460
260,241
260,1176
260,1605
260,201
260,863
260,748
260,1559
260,1857
260,551
260,2349
260,2155
260,1253
260,206
260,1141
260,2339
261,762
261,769
261,1879
262,1910
262,1352
263,1154
263,898
263,770
263,784
263,2104
263,971
263,489
263,1616
263,2117
263,2038
263,1031
263,2228
263,2469
263,1235
263,339
263,1868
263,462
263,1369
263,1945
263,1083
263,861
263,1098
263,1107
263,508
263,1662
263,2840
263,1808
263,2222
263,540
263,545
264,8
264,174
264,1254
265,2121
266,3013
266,198
266,2347
266,2204
266,2547
266,758
266,551
266,2031
266,367
267,1925
267,1592
267,2483
267,1460
267,1076
267,2089
267,2538
267,1438
267,1442
267,2185
267,1533
267,2507
267,339
267,653
267,1994
267,2797
267,2316
267,1948
267,1106
267,1949
268,2243
268,1490
268,2300
269,1715
269,1299
269,1221
269,1337
270,378
270,164
270,1515
270,780
270,49
270,790
270,1104
270,2323
270,715
270,452
270,453
270,1879
270,1382
270,1859
270,1358
271,2357
271,2100
271,1824
271,1351
271,916
271,971
271,1930
271,1931
271,863
271,1486
271,528
271,1360
271,1689
271,292
271,1797
271,2158
271,1830
271,682
271,2374
271,1159
271,642
271,646
271,649
271,1868
271,2128
271,2192
271,1837
271,989
271,1820
271,1580
271,1202
272,893
272,562
272,501
272,1617
272,372
272,1298
272,1299
272,1830
272,1892
273,1706
273,1221
273,964
273,1280
273,792
274,789
275,247
276,2234
277,3199
277,823
277,3324
277,2054
277,898
277,846
277,2790
277,2057
277,2058
277,2541
277,2654
277,825
277,2063
277,2064
277,832
277,837
277,2584
277,2159
277,1186
277,844
277,2207
277,2200
277,1368
277,1195
277,1426
277,2924
277,2021
277,2798
277,2774
277,1966
277,993
278,1603
278,1193
278,3359
279,1188
279,1095
279,2789
279,2411
279,2023
280,1205
280,1197
280,185
280,201
280,319
280,758
280,1628
280,2030
280,575
281,2044
281,1356
282,684
282,787
282,1651
283,744
283,2621
283,3228
283,762
283,3484
283,3521
283,785
283,916
283,1250
283,2090
283,2733
283,1617
283,1362
283,1797
283,2061
283,750
283,758
283,708
283,1691
283,2681
283,430
283,432
283,1055
283,3332
283,1737
283,462
283,1400
283,1499
283,2200
283,2076
283,1908
283,925
283,2007
283,1434
283,2258
284,2701
284,162
284,2841
284,789
284,2114
284,2153
284,406
284,1770
284,918
284,1268
284,1790
286,184
286,1715
286,2348
286,2296
286,1390
286,160
287,745
287,1424
288,2549
290,395
290,1320
290,1323
290,2936
290,551
290,1984
290,37
290,478
290,1254
290,1106
291,2348
292,1739
292,378
292,2702
292,2999
292,1740
292,3324
292,1954
292,1223
292,47
292,2535
292,1373
292,602
292,2658
292,49
292,3003
292,928
292,3514
292,588
292,2825
292,753
292,2066
292,1159
292,217
292,2298
292,716
292,1497
292,2752
292,1377
292,1259
292,2317
292,2413
293,304
293,417
294,745
294,1899
294,761
294,2811
294,1078
294,1712
294,1933
294,1797
294,1444
294,2730
294,717
294,1944
295,251
295,2216
295,1875
295,1637
295,1647
295,2342
295,2083
295,1554
295,737
296,1449
297,841
297,274
298,2486
298,201
298,1637
299,1128
299,378
299,394
299,2113
299,1889
299,1616
299,1424
299,62
300,885
300,113
300,1185
300,902
300,1757
300,794
300,1522
300,1482
300,1362
300,166
300,680
300,2121
300,1055
300,1572
300,1013
300,991
301,1823
301,880
301,1220
301,1732
301,445
301,1351
301,1068
301,2188
301,1930
301,1574
301,2597
301,2569
301,2110
301,1828
301,803
301,1289
301,1900
301,809
301,1264
301,1524
301,1734
301,1275
301,677
301,2009
301,1127
301,2335
301,1032
301,1623
301,630
301,1867
301,680
301,944
301,888
301,2175
301,1806
301,1131
301,1184
301,769
301,895
301,324
301,1535
301,1536
301,1639
301,2252
301,444
301,848
301,1998
301,37
301,1073
301,2154
301,787
301,1081
301,174
301,478
301,2753
301,1092
301,2645
301,1552
301,927
301,1568
301,2256
301,2221
301,2084
301,1949
301,2319
301,1663
301,3477
301,819
302,1584
302,1373
302,1967
302,1095
302,2820
302,1331
302,2347
302,289
302,296
302,3250
302,758
302,1628
302,2093
302,1580
302,2095
302,247
302,107
303,1886
303,2811
304,1581
304,2054
304,2568
304,1060
304,913
304,1354
304,2395
304,1828
304,2367
304,825
304,835
304,2742
304,1503
304,3279
304,861
304,1255
304,493
304,2746
304,1434
305,1220
305,1514
305,2013
305,2901
305,546
305,878
305,2277
305,1736
305,2124
305,1699
305,1564
306,693
306,1295
306,378
306,2002
306,183
